code,date,value,totalvalue
110022,20140815,9640,9640
110022,20140818,9670,9670
110022,20140819,9700,9700
110022,20140820,9680,9680
110022,20140821,9670,9670
110022,20140822,9740,9740
110022,20140825,9600,9600
110022,20140826,9510,9510
110022,20140827,9530,9530
110022,20140828,9480,9480
110022,20140829,9610,9610
110022,20140901,9760,9760
110022,20140902,9850,9850
110022,20140903,9930,9930
110022,20140904,9940,9940
110022,20140905,10029,10029
110022,20140909,10009,10009
110022,20140910,9960,9960
110022,20140911,9870,9870
110022,20140912,9890,9890
110022,20140915,9880,9880
110022,20140916,9590,9590
110022,20140917,9670,9670
110022,20140918,9730,9730
110022,20140919,9800,9800
110022,20140922,9620,9620
110022,20140923,9670,9670
110022,20140924,9790,9790
110022,20140925,9770,9770
110022,20140926,9780,9780
110022,20140929,9850,9850
110022,20140930,9830,9830
110022,20141008,9920,9920
110022,20141009,9970,9970
110022,20141010,9930,9930
110022,20141013,9830,9830
110022,20141014,9770,9770
110022,20141015,9770,9770
110022,20141016,9610,9610
110022,20141017,9680,9680
110022,20141020,9770,9770
110022,20141021,9690,9690
110022,20141022,9580,9580
110022,20141023,9480,9480
110022,20141024,9490,9490
110022,20141027,9510,9510
110022,20141028,9590,9590
110022,20141029,9680,9680
110022,20141030,9650,9650
110022,20141031,9680,9680
110022,20141103,9660,9660
110022,20141104,9540,9540
110022,20141105,9500,9500
110022,20141106,9540,9540
110022,20141107,9490,9490
110022,20141110,9690,9690
110022,20141111,9500,9500
110022,20141112,9600,9600
110022,20141113,9580,9580
110022,20141114,9630,9630
110022,20141117,9660,9660
110022,20141118,9600,9600
110022,20141119,9560,9560
110022,20141120,9500,9500
110022,20141121,9590,9590
110022,20141124,9660,9660
110022,20141125,9780,9780
110022,20141126,9790,9790
110022,20141127,9830,9830
110022,20141128,9850,9850
110022,20141201,9930,9930
110022,20141202,10109,10109
110022,20141203,10260,10260
110022,20141204,10450,10450
110022,20141205,10280,10280
110022,20141208,10380,10380
110022,20141209,10069,10069
110022,20141210,10420,10420
110022,20141211,10380,10380
110022,20141212,10430,10430
110022,20141215,10590,10590
110022,20141216,10520,10520
110022,20141217,10380,10380
110022,20141218,10460,10460
110022,20141219,10380,10380
110022,20141222,10350,10350
110022,20141223,10330,10330
110022,20141224,10250,10250
110022,20141225,10350,10350
110022,20141226,10430,10430
110022,20141229,10410,10410
110022,20141230,10250,10250
110022,20141231,10390,10390
110022,20150105,10930,10930
110022,20150106,11090,11090
110022,20150107,11000,11000
110022,20150108,10990,10990
110022,20150109,10860,10860
110022,20150112,10940,10940
110022,20150113,11080,11080
110022,20150114,10870,10870
110022,20150115,10950,10950
110022,20150116,11000,11000
110022,20150119,10420,10420
110022,20150120,10740,10740
110022,20150121,11020,11020
110022,20150122,11060,11060
110022,20150123,10950,10950
110022,20150126,11090,11090
110022,20150127,11150,11150
110022,20150128,11050,11050
110022,20150129,10980,10980
110022,20150130,10990,10990
110022,20150202,10900,10900
110022,20150203,11080,11080
110022,20150204,11050,11050
110022,20150205,10960,10960
110022,20150206,10910,10910
110022,20150209,10980,10980
110022,20150210,11140,11140
